model,seed,true_label,pred_label,count
LeNet_LSTM,49,0,0,314
LeNet_LSTM,49,0,1,1
LeNet_LSTM,49,0,2,1
LeNet_LSTM,49,0,3,2
LeNet_LSTM,49,0,4,0
LeNet_LSTM,49,0,5,0
LeNet_LSTM,49,0,6,0
LeNet_LSTM,49,0,7,0
LeNet_LSTM,49,0,8,0
LeNet_LSTM,49,0,9,0
LeNet_LSTM,49,0,10,0
LeNet_LSTM,49,0,11,2
LeNet_LSTM,49,1,0,0
LeNet_LSTM,49,1,1,317
LeNet_LSTM,49,1,2,0
LeNet_LSTM,49,1,3,0
LeNet_LSTM,49,1,4,0
LeNet_LSTM,49,1,5,3
LeNet_LSTM,49,1,6,0
LeNet_LSTM,49,1,7,0
LeNet_LSTM,49,1,8,0
LeNet_LSTM,49,1,9,0
LeNet_LSTM,49,1,10,0
LeNet_LSTM,49,1,11,0
LeNet_LSTM,49,2,0,1
LeNet_LSTM,49,2,1,0
LeNet_LSTM,49,2,2,295
LeNet_LSTM,49,2,3,0
LeNet_LSTM,49,2,4,0
LeNet_LSTM,49,2,5,0
LeNet_LSTM,49,2,6,0
LeNet_LSTM,49,2,7,23
LeNet_LSTM,49,2,8,1
LeNet_LSTM,49,2,9,0
LeNet_LSTM,49,2,10,0
LeNet_LSTM,49,2,11,0
LeNet_LSTM,49,3,0,1
LeNet_LSTM,49,3,1,1
LeNet_LSTM,49,3,2,0
LeNet_LSTM,49,3,3,214
LeNet_LSTM,49,3,4,0
LeNet_LSTM,49,3,5,0
LeNet_LSTM,49,3,6,99
LeNet_LSTM,49,3,7,0
LeNet_LSTM,49,3,8,0
LeNet_LSTM,49,3,9,0
LeNet_LSTM,49,3,10,0
LeNet_LSTM,49,3,11,5
LeNet_LSTM,49,4,0,0
LeNet_LSTM,49,4,1,19
LeNet_LSTM,49,4,2,0
LeNet_LSTM,49,4,3,0
LeNet_LSTM,49,4,4,298
LeNet_LSTM,49,4,5,0
LeNet_LSTM,49,4,6,1
LeNet_LSTM,49,4,7,0
LeNet_LSTM,49,4,8,0
LeNet_LSTM,49,4,9,2
LeNet_LSTM,49,4,10,0
LeNet_LSTM,49,4,11,0
LeNet_LSTM,49,5,0,0
LeNet_LSTM,49,5,1,1
LeNet_LSTM,49,5,2,2
LeNet_LSTM,49,5,3,0
LeNet_LSTM,49,5,4,0
LeNet_LSTM,49,5,5,317
LeNet_LSTM,49,5,6,0
LeNet_LSTM,49,5,7,0
LeNet_LSTM,49,5,8,0
LeNet_LSTM,49,5,9,0
LeNet_LSTM,49,5,10,0
LeNet_LSTM,49,5,11,0
LeNet_LSTM,49,6,0,0
LeNet_LSTM,49,6,1,0
LeNet_LSTM,49,6,2,0
LeNet_LSTM,49,6,3,104
LeNet_LSTM,49,6,4,0
LeNet_LSTM,49,6,5,0
LeNet_LSTM,49,6,6,214
LeNet_LSTM,49,6,7,0
LeNet_LSTM,49,6,8,0
LeNet_LSTM,49,6,9,0
LeNet_LSTM,49,6,10,0
LeNet_LSTM,49,6,11,2
LeNet_LSTM,49,7,0,0
LeNet_LSTM,49,7,1,0
LeNet_LSTM,49,7,2,0
LeNet_LSTM,49,7,3,0
LeNet_LSTM,49,7,4,0
LeNet_LSTM,49,7,5,0
LeNet_LSTM,49,7,6,0
LeNet_LSTM,49,7,7,318
LeNet_LSTM,49,7,8,0
LeNet_LSTM,49,7,9,0
LeNet_LSTM,49,7,10,2
LeNet_LSTM,49,7,11,0
LeNet_LSTM,49,8,0,1
LeNet_LSTM,49,8,1,0
LeNet_LSTM,49,8,2,16
LeNet_LSTM,49,8,3,0
LeNet_LSTM,49,8,4,0
LeNet_LSTM,49,8,5,0
LeNet_LSTM,49,8,6,0
LeNet_LSTM,49,8,7,0
LeNet_LSTM,49,8,8,294
LeNet_LSTM,49,8,9,0
LeNet_LSTM,49,8,10,1
LeNet_LSTM,49,8,11,8
LeNet_LSTM,49,9,0,0
LeNet_LSTM,49,9,1,2
LeNet_LSTM,49,9,2,0
LeNet_LSTM,49,9,3,0
LeNet_LSTM,49,9,4,17
LeNet_LSTM,49,9,5,0
LeNet_LSTM,49,9,6,0
LeNet_LSTM,49,9,7,1
LeNet_LSTM,49,9,8,0
LeNet_LSTM,49,9,9,300
LeNet_LSTM,49,9,10,0
LeNet_LSTM,49,9,11,0
LeNet_LSTM,49,10,0,0
LeNet_LSTM,49,10,1,0
LeNet_LSTM,49,10,2,0
LeNet_LSTM,49,10,3,0
LeNet_LSTM,49,10,4,0
LeNet_LSTM,49,10,5,0
LeNet_LSTM,49,10,6,0
LeNet_LSTM,49,10,7,0
LeNet_LSTM,49,10,8,0
LeNet_LSTM,49,10,9,0
LeNet_LSTM,49,10,10,320
LeNet_LSTM,49,10,11,0
LeNet_LSTM,49,11,0,1
LeNet_LSTM,49,11,1,6
LeNet_LSTM,49,11,2,0
LeNet_LSTM,49,11,3,1
LeNet_LSTM,49,11,4,0
LeNet_LSTM,49,11,5,0
LeNet_LSTM,49,11,6,4
LeNet_LSTM,49,11,7,0
LeNet_LSTM,49,11,8,1
LeNet_LSTM,49,11,9,1
LeNet_LSTM,49,11,10,0
LeNet_LSTM,49,11,11,306
