model,seed,true_label,pred_label,count
LeNet,42,0,0,315
LeNet,42,0,1,0
LeNet,42,0,2,0
LeNet,42,0,3,2
LeNet,42,0,4,0
LeNet,42,0,5,3
LeNet,42,0,6,0
LeNet,42,0,7,0
LeNet,42,0,8,0
LeNet,42,0,9,0
LeNet,42,0,10,0
LeNet,42,0,11,0
LeNet,42,1,0,0
LeNet,42,1,1,306
LeNet,42,1,2,0
LeNet,42,1,3,0
LeNet,42,1,4,4
LeNet,42,1,5,8
LeNet,42,1,6,0
LeNet,42,1,7,0
LeNet,42,1,8,1
LeNet,42,1,9,0
LeNet,42,1,10,1
LeNet,42,1,11,0
LeNet,42,2,0,13
LeNet,42,2,1,0
LeNet,42,2,2,303
LeNet,42,2,3,0
LeNet,42,2,4,0
LeNet,42,2,5,0
LeNet,42,2,6,0
LeNet,42,2,7,0
LeNet,42,2,8,4
LeNet,42,2,9,0
LeNet,42,2,10,0
LeNet,42,2,11,0
LeNet,42,3,0,0
LeNet,42,3,1,1
LeNet,42,3,2,0
LeNet,42,3,3,277
LeNet,42,3,4,1
LeNet,42,3,5,0
LeNet,42,3,6,41
LeNet,42,3,7,0
LeNet,42,3,8,0
LeNet,42,3,9,0
LeNet,42,3,10,0
LeNet,42,3,11,0
LeNet,42,4,0,9
LeNet,42,4,1,1
LeNet,42,4,2,0
LeNet,42,4,3,0
LeNet,42,4,4,309
LeNet,42,4,5,0
LeNet,42,4,6,0
LeNet,42,4,7,0
LeNet,42,4,8,0
LeNet,42,4,9,1
LeNet,42,4,10,0
LeNet,42,4,11,0
LeNet,42,5,0,5
LeNet,42,5,1,1
LeNet,42,5,2,0
LeNet,42,5,3,0
LeNet,42,5,4,0
LeNet,42,5,5,304
LeNet,42,5,6,0
LeNet,42,5,7,4
LeNet,42,5,8,0
LeNet,42,5,9,2
LeNet,42,5,10,2
LeNet,42,5,11,2
LeNet,42,6,0,3
LeNet,42,6,1,0
LeNet,42,6,2,0
LeNet,42,6,3,139
LeNet,42,6,4,0
LeNet,42,6,5,0
LeNet,42,6,6,174
LeNet,42,6,7,0
LeNet,42,6,8,0
LeNet,42,6,9,0
LeNet,42,6,10,0
LeNet,42,6,11,4
LeNet,42,7,0,0
LeNet,42,7,1,0
LeNet,42,7,2,4
LeNet,42,7,3,0
LeNet,42,7,4,0
LeNet,42,7,5,1
LeNet,42,7,6,0
LeNet,42,7,7,185
LeNet,42,7,8,40
LeNet,42,7,9,4
LeNet,42,7,10,46
LeNet,42,7,11,40
LeNet,42,8,0,0
LeNet,42,8,1,0
LeNet,42,8,2,1
LeNet,42,8,3,0
LeNet,42,8,4,0
LeNet,42,8,5,1
LeNet,42,8,6,0
LeNet,42,8,7,17
LeNet,42,8,8,289
LeNet,42,8,9,1
LeNet,42,8,10,7
LeNet,42,8,11,4
LeNet,42,9,0,1
LeNet,42,9,1,0
LeNet,42,9,2,0
LeNet,42,9,3,6
LeNet,42,9,4,1
LeNet,42,9,5,0
LeNet,42,9,6,1
LeNet,42,9,7,4
LeNet,42,9,8,10
LeNet,42,9,9,259
LeNet,42,9,10,5
LeNet,42,9,11,33
LeNet,42,10,0,0
LeNet,42,10,1,0
LeNet,42,10,2,0
LeNet,42,10,3,0
LeNet,42,10,4,0
LeNet,42,10,5,6
LeNet,42,10,6,0
LeNet,42,10,7,23
LeNet,42,10,8,46
LeNet,42,10,9,5
LeNet,42,10,10,239
LeNet,42,10,11,1
LeNet,42,11,0,0
LeNet,42,11,1,0
LeNet,42,11,2,0
LeNet,42,11,3,4
LeNet,42,11,4,0
LeNet,42,11,5,0
LeNet,42,11,6,2
LeNet,42,11,7,1
LeNet,42,11,8,9
LeNet,42,11,9,13
LeNet,42,11,10,0
LeNet,42,11,11,291
