epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_f1,val_macro_f1,lr,epoch_time_s,cum_time_s,is_best
1.0,1.2594730131399063,0.8388690476190476,0.8225375301457346,0.7113069371808143,0.7985119047619048,0.7748520480081114,0.7748520480081114,0.0007,172.8357213139534,172.8357213139534,1.0
2.0,0.7836807337545213,0.888452380952381,0.8855467737161665,0.6990772625520116,0.8488095238095238,0.8459685722985051,0.8459685722985051,0.0007,153.01500444673002,325.8507257606834,1.0
3.0,0.6273061055796487,0.9429166666666666,0.942797772010305,0.6502756386995315,0.8711309523809524,0.8721163962211884,0.8721163962211884,0.0007,143.8234710507095,469.6741968113929,1.0
4.0,0.5461914307162875,0.9545238095238096,0.9545463222137136,0.563412454582396,0.893154761904762,0.8934550017290745,0.8934550017290745,0.0007,155.32630693167448,625.0005037430674,1.0
5.0,0.505572604579585,0.9603571428571429,0.9604391629832435,0.5127039949808802,0.9172619047619047,0.9180731710629226,0.9180731710629226,0.0007,144.63113167136908,769.6316354144365,1.0
6.0,0.47007389761152724,0.9677976190476191,0.9677309769153623,0.555100959965161,0.9089285714285714,0.907516842132894,0.907516842132894,0.0007,148.01275881007314,917.6443942245096,0.0
7.0,0.44475831261702947,0.979047619047619,0.9790041117527714,0.501837137625331,0.9199404761904761,0.919818518060647,0.919818518060647,0.0007,143.6123842075467,1061.2567784320563,1.0
8.0,0.42022514272303807,0.9798214285714286,0.9798025861340985,0.5450520176972662,0.9053571428571429,0.9063043139767849,0.9063043139767849,0.0007,136.45170333236456,1197.7084817644209,0.0
9.0,0.40785373186781293,0.9870833333333333,0.9870824383855469,0.5417361191340855,0.9145833333333333,0.9145066837831882,0.9145066837831882,0.0007,149.28458553552628,1346.9930672999471,0.0
10.0,0.39360889380886444,0.9841071428571428,0.9841233774167164,0.5656629274998393,0.9056547619047619,0.9049553228393972,0.9049553228393972,0.00035,142.24862925708294,1489.24169655703,0.0
11.0,0.3443172322000776,0.9917857142857143,0.9917798636996965,0.6299252512199538,0.9008928571428572,0.9008458880513609,0.9008458880513609,0.00035,145.42346685566008,1634.6651634126902,0.0
12.0,0.3394594796924364,0.9956547619047619,0.995654798974936,0.581464580198129,0.9139880952380952,0.9151165384512168,0.9151165384512168,0.00035,137.8821673002094,1772.5473307128996,0.0
13.0,0.3340163208189465,0.9954761904761905,0.995475698331847,0.5711341896227428,0.9113095238095238,0.9124403106115819,0.9124403106115819,0.000175,142.06182309426367,1914.6091538071632,0.0
14.0,0.3212372105036463,0.9991071428571429,0.9991068651353401,0.543374358401412,0.9211309523809523,0.9218445653816634,0.9218445653816634,0.000175,144.71364410221577,2059.322797909379,1.0
15.0,0.31734468120904197,0.9989285714285714,0.9989286551571891,0.5784141759787287,0.9166666666666666,0.9177278425962565,0.9177278425962565,0.000175,145.08411158248782,2204.406909491867,0.0
16.0,0.31505976583276474,0.9994642857142857,0.9994641789500903,0.5304500071065766,0.9273809523809524,0.927611435001863,0.927611435001863,8.75e-05,143.95568413846195,2348.362593630329,1.0
17.0,0.30983577522493544,0.9994047619047619,0.999404761547324,0.5627918024857839,0.925,0.9253431213795206,0.9253431213795206,8.75e-05,144.53292332030833,2492.895516950637,0.0
18.0,0.3085409222046534,0.9994642857142857,0.9994642641360917,0.5639781028032302,0.9255952380952381,0.9258125009394841,0.9258125009394841,8.75e-05,144.2242033611983,2637.1197203118354,0.0
