model,seed,true_label,pred_label,count
LSTM,44,0,0,295
LSTM,44,0,1,0
LSTM,44,0,2,16
LSTM,44,0,3,0
LSTM,44,0,4,1
LSTM,44,0,5,0
LSTM,44,0,6,3
LSTM,44,0,7,1
LSTM,44,0,8,3
LSTM,44,0,9,1
LSTM,44,0,10,0
LSTM,44,0,11,0
LSTM,44,1,0,0
LSTM,44,1,1,286
LSTM,44,1,2,0
LSTM,44,1,3,1
LSTM,44,1,4,6
LSTM,44,1,5,20
LSTM,44,1,6,0
LSTM,44,1,7,0
LSTM,44,1,8,0
LSTM,44,1,9,4
LSTM,44,1,10,3
LSTM,44,1,11,0
LSTM,44,2,0,14
LSTM,44,2,1,0
LSTM,44,2,2,301
LSTM,44,2,3,1
LSTM,44,2,4,0
LSTM,44,2,5,2
LSTM,44,2,6,2
LSTM,44,2,7,0
LSTM,44,2,8,0
LSTM,44,2,9,0
LSTM,44,2,10,0
LSTM,44,2,11,0
LSTM,44,3,0,2
LSTM,44,3,1,1
LSTM,44,3,2,0
LSTM,44,3,3,258
LSTM,44,3,4,4
LSTM,44,3,5,0
LSTM,44,3,6,52
LSTM,44,3,7,0
LSTM,44,3,8,0
LSTM,44,3,9,1
LSTM,44,3,10,0
LSTM,44,3,11,2
LSTM,44,4,0,22
LSTM,44,4,1,39
LSTM,44,4,2,0
LSTM,44,4,3,4
LSTM,44,4,4,238
LSTM,44,4,5,5
LSTM,44,4,6,0
LSTM,44,4,7,1
LSTM,44,4,8,0
LSTM,44,4,9,11
LSTM,44,4,10,0
LSTM,44,4,11,0
LSTM,44,5,0,0
LSTM,44,5,1,10
LSTM,44,5,2,0
LSTM,44,5,3,0
LSTM,44,5,4,0
LSTM,44,5,5,300
LSTM,44,5,6,0
LSTM,44,5,7,0
LSTM,44,5,8,1
LSTM,44,5,9,0
LSTM,44,5,10,9
LSTM,44,5,11,0
LSTM,44,6,0,6
LSTM,44,6,1,0
LSTM,44,6,2,0
LSTM,44,6,3,123
LSTM,44,6,4,14
LSTM,44,6,5,0
LSTM,44,6,6,173
LSTM,44,6,7,0
LSTM,44,6,8,0
LSTM,44,6,9,1
LSTM,44,6,10,1
LSTM,44,6,11,2
LSTM,44,7,0,6
LSTM,44,7,1,1
LSTM,44,7,2,5
LSTM,44,7,3,7
LSTM,44,7,4,1
LSTM,44,7,5,0
LSTM,44,7,6,1
LSTM,44,7,7,280
LSTM,44,7,8,9
LSTM,44,7,9,2
LSTM,44,7,10,5
LSTM,44,7,11,3
LSTM,44,8,0,1
LSTM,44,8,1,0
LSTM,44,8,2,0
LSTM,44,8,3,0
LSTM,44,8,4,0
LSTM,44,8,5,1
LSTM,44,8,6,0
LSTM,44,8,7,18
LSTM,44,8,8,289
LSTM,44,8,9,2
LSTM,44,8,10,4
LSTM,44,8,11,5
LSTM,44,9,0,3
LSTM,44,9,1,2
LSTM,44,9,2,0
LSTM,44,9,3,9
LSTM,44,9,4,70
LSTM,44,9,5,0
LSTM,44,9,6,0
LSTM,44,9,7,1
LSTM,44,9,8,1
LSTM,44,9,9,230
LSTM,44,9,10,2
LSTM,44,9,11,2
LSTM,44,10,0,4
LSTM,44,10,1,2
LSTM,44,10,2,0
LSTM,44,10,3,1
LSTM,44,10,4,0
LSTM,44,10,5,2
LSTM,44,10,6,1
LSTM,44,10,7,14
LSTM,44,10,8,3
LSTM,44,10,9,4
LSTM,44,10,10,289
LSTM,44,10,11,0
LSTM,44,11,0,3
LSTM,44,11,1,0
LSTM,44,11,2,0
LSTM,44,11,3,18
LSTM,44,11,4,5
LSTM,44,11,5,0
LSTM,44,11,6,13
LSTM,44,11,7,3
LSTM,44,11,8,11
LSTM,44,11,9,5
LSTM,44,11,10,0
LSTM,44,11,11,262
