model,seed,true_label,pred_label,count
LSTM,42,0,0,306
LSTM,42,0,1,0
LSTM,42,0,2,1
LSTM,42,0,3,2
LSTM,42,0,4,2
LSTM,42,0,5,0
LSTM,42,0,6,7
LSTM,42,0,7,0
LSTM,42,0,8,2
LSTM,42,0,9,0
LSTM,42,0,10,0
LSTM,42,0,11,0
LSTM,42,1,0,0
LSTM,42,1,1,290
LSTM,42,1,2,0
LSTM,42,1,3,0
LSTM,42,1,4,16
LSTM,42,1,5,13
LSTM,42,1,6,0
LSTM,42,1,7,0
LSTM,42,1,8,0
LSTM,42,1,9,0
LSTM,42,1,10,1
LSTM,42,1,11,0
LSTM,42,2,0,14
LSTM,42,2,1,2
LSTM,42,2,2,301
LSTM,42,2,3,0
LSTM,42,2,4,0
LSTM,42,2,5,2
LSTM,42,2,6,1
LSTM,42,2,7,0
LSTM,42,2,8,0
LSTM,42,2,9,0
LSTM,42,2,10,0
LSTM,42,2,11,0
LSTM,42,3,0,0
LSTM,42,3,1,0
LSTM,42,3,2,0
LSTM,42,3,3,251
LSTM,42,3,4,3
LSTM,42,3,5,0
LSTM,42,3,6,62
LSTM,42,3,7,2
LSTM,42,3,8,0
LSTM,42,3,9,1
LSTM,42,3,10,0
LSTM,42,3,11,1
LSTM,42,4,0,8
LSTM,42,4,1,19
LSTM,42,4,2,0
LSTM,42,4,3,2
LSTM,42,4,4,281
LSTM,42,4,5,4
LSTM,42,4,6,1
LSTM,42,4,7,1
LSTM,42,4,8,0
LSTM,42,4,9,2
LSTM,42,4,10,2
LSTM,42,4,11,0
LSTM,42,5,0,5
LSTM,42,5,1,18
LSTM,42,5,2,0
LSTM,42,5,3,0
LSTM,42,5,4,2
LSTM,42,5,5,293
LSTM,42,5,6,0
LSTM,42,5,7,0
LSTM,42,5,8,1
LSTM,42,5,9,0
LSTM,42,5,10,1
LSTM,42,5,11,0
LSTM,42,6,0,3
LSTM,42,6,1,2
LSTM,42,6,2,0
LSTM,42,6,3,105
LSTM,42,6,4,4
LSTM,42,6,5,0
LSTM,42,6,6,205
LSTM,42,6,7,0
LSTM,42,6,8,1
LSTM,42,6,9,0
LSTM,42,6,10,0
LSTM,42,6,11,0
LSTM,42,7,0,0
LSTM,42,7,1,1
LSTM,42,7,2,12
LSTM,42,7,3,1
LSTM,42,7,4,1
LSTM,42,7,5,1
LSTM,42,7,6,3
LSTM,42,7,7,257
LSTM,42,7,8,1
LSTM,42,7,9,1
LSTM,42,7,10,6
LSTM,42,7,11,36
LSTM,42,8,0,8
LSTM,42,8,1,0
LSTM,42,8,2,0
LSTM,42,8,3,0
LSTM,42,8,4,0
LSTM,42,8,5,0
LSTM,42,8,6,0
LSTM,42,8,7,18
LSTM,42,8,8,291
LSTM,42,8,9,1
LSTM,42,8,10,1
LSTM,42,8,11,1
LSTM,42,9,0,1
LSTM,42,9,1,1
LSTM,42,9,2,0
LSTM,42,9,3,0
LSTM,42,9,4,6
LSTM,42,9,5,3
LSTM,42,9,6,1
LSTM,42,9,7,0
LSTM,42,9,8,1
LSTM,42,9,9,303
LSTM,42,9,10,3
LSTM,42,9,11,1
LSTM,42,10,0,0
LSTM,42,10,1,2
LSTM,42,10,2,0
LSTM,42,10,3,0
LSTM,42,10,4,2
LSTM,42,10,5,2
LSTM,42,10,6,0
LSTM,42,10,7,3
LSTM,42,10,8,5
LSTM,42,10,9,1
LSTM,42,10,10,305
LSTM,42,10,11,0
LSTM,42,11,0,0
LSTM,42,11,1,0
LSTM,42,11,2,0
LSTM,42,11,3,3
LSTM,42,11,4,0
LSTM,42,11,5,0
LSTM,42,11,6,3
LSTM,42,11,7,0
LSTM,42,11,8,7
LSTM,42,11,9,5
LSTM,42,11,10,0
LSTM,42,11,11,302
