model,seed,epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,test_loss,test_acc,test_f1,lr,epoch_time_sec
ResNet18,43,1,0.6049243714695886,0.7952976190476191,0.9111920224983224,0.38792450781294885,0.8663690476190476,0.8653403831593917,0.5341946825146882,0.8354166666666667,0.8308986345519727,0.0007,42.932910080999136
ResNet18,43,2,0.28456119791382833,0.9002976190476191,0.9512638274728027,0.30094913702460396,0.9113095238095238,0.9114735690914567,0.3342697509809265,0.8848958333333333,0.8842125402289307,0.0007,41.30779633671045
ResNet18,43,3,0.19950923237062637,0.9313690476190476,0.9694324522381762,0.25050313690137826,0.9291666666666667,0.9285793937488768,0.37499110835825417,0.8859375,0.8847619216133878,0.0007,40.498351726680994
ResNet18,43,4,0.16841858564388185,0.9445238095238095,0.9733754788203465,0.3199803674860602,0.9148809523809524,0.9156155081079679,0.4034252585269698,0.8822916666666667,0.8812230442419495,0.0007,41.86859975196421
ResNet18,43,5,0.13379448465648153,0.9541071428571428,0.9774780890923274,0.2965049244921331,0.9172619047619047,0.9169380752145909,0.4004621388047499,0.8828125,0.8818037355950478,0.0007,40.59275428391993
ResNet18,43,6,0.10914351604524113,0.96375,0.9838654601349422,0.2919357055406829,0.9205357142857142,0.9204080936562077,0.40545613764735566,0.8947916666666667,0.8942171037050723,0.00035,37.860583923757076
ResNet18,43,7,0.05045016476086208,0.983452380952381,0.9942871535771997,0.2671774559916609,0.9252976190476191,0.925153342388375,0.3882511866321252,0.9036458333333334,0.9032030972454078,0.00035,38.246551640331745
ResNet18,43,8,0.0387581130081699,0.9881547619047619,0.9951170615829557,0.3208200853970235,0.9315476190476191,0.9315622560504891,0.4251295557287266,0.896875,0.8962077475088036,0.00035,41.21826706640422
ResNet18,43,9,0.03620908051729202,0.9877976190476191,0.9957147244318225,0.31003172671908463,0.9294642857142857,0.9294446168604332,0.5355857850878321,0.8942708333333333,0.8936503788191841,0.000175,37.764066226780415
ResNet18,43,10,0.01922886229696728,0.9943452380952381,0.9993452794658592,0.3291908919385072,0.9342261904761905,0.9340190657635934,0.4240874446864557,0.9140625,0.9138205821994073,0.000175,39.59425260312855
ResNet18,43,11,0.010847767570189067,0.9963095238095238,0.997916341094462,0.37773404839492525,0.9258928571428572,0.9251640920038077,0.5057585616260901,0.9059895833333333,0.9052273474777176,0.000175,39.959341406822205
ResNet18,43,12,0.011351700240657443,0.9966071428571428,0.9996428566412621,0.37487908295835065,0.9336309523809524,0.933378740955933,0.5058300549357447,0.903125,0.9024141154539022,8.75e-05,42.35094807110727
ResNet18,43,13,0.0046332161199478875,0.9983333333333333,0.9997023807317026,0.4280446448946939,0.9291666666666667,0.9291112447650741,0.5170179060220421,0.9067708333333333,0.9061672920865759,8.75e-05,41.74766440689564
ResNet18,43,14,0.0052803759844530195,0.9983333333333333,0.9999999999994992,0.3747065326533608,0.9386904761904762,0.9387235881632882,0.5544464983014962,0.9028645833333333,0.9021678386815192,8.75e-05,41.82922503165901
ResNet18,43,15,0.0026597518438384645,0.9991071428571429,0.9999999999994992,0.4024652995490448,0.9324404761904762,0.9326217979105539,0.5629291210197835,0.90703125,0.9066240691598112,4.375e-05,39.85301794670522
ResNet18,43,16,0.001207001493090675,0.999702380952381,0.9999999999994992,0.40840970032345275,0.9342261904761905,0.9343778359915275,0.546947181433271,0.9083333333333333,0.9077423094052485,4.375e-05,40.49777896143496
ResNet18,43,17,0.001339018437124434,0.9995833333333334,0.9998809523652671,0.41433551897168136,0.9354166666666667,0.9355582689876888,0.5719198592975867,0.90703125,0.9059939983218966,4.375e-05,40.18003250285983
ResNet18,43,18,0.001559252923443204,0.9995833333333334,0.9999999999994992,0.42852067430924057,0.9345238095238095,0.9343146192840036,0.61997918638494,0.9088541666666666,0.9080369217168599,2.1875e-05,41.11815666407347
ResNet18,43,19,0.0008927802954401289,0.9998214285714285,0.9999999999994992,0.4447555370184079,0.9348214285714286,0.9348521175818901,0.5832091947017066,0.9114583333333334,0.9111409253077057,2.1875e-05,38.87656091526151
ResNet18,43,20,0.0006018231738181342,0.9998809523809524,0.9999999999994992,0.45722915568862266,0.9327380952380953,0.9326009929390313,0.5492579634705221,0.9114583333333334,0.9109697051752382,2.1875e-05,39.960215570405126
ResNet18,43,21,0.0008425472818669818,0.9999404761904762,0.9999999999994992,0.46341704914760723,0.9339285714285714,0.9336736517567025,0.5596268470104019,0.9119791666666667,0.9115493028241485,1.09375e-05,42.480819687247276
ResNet18,43,22,0.0006224070560364496,0.9998809523809524,0.9999999999994992,0.45373549177455935,0.937202380952381,0.9369817805399551,0.603031147422637,0.90859375,0.907891247544133,1.09375e-05,42.22402884811163
ResNet18,43,23,0.0003681198897815886,0.9998809523809524,0.9999999999994992,0.4480305701283639,0.9348214285714286,0.9347988798150207,0.5819134812135525,0.9098958333333333,0.9092039517551908,1.09375e-05,41.59805656410754
ResNet18,43,24,0.0009313639146941049,0.999702380952381,0.9999999999994992,0.46547894543393686,0.9321428571428572,0.9322502334239576,0.589329581889488,0.9111979166666667,0.9107006803711818,5.46875e-06,42.33326903730631
ResNet18,43,25,0.00031810378034909564,0.9999404761904762,0.9999999999994992,0.45771640956677023,0.9354166666666667,0.935417709693756,0.5960596867552213,0.9096354166666667,0.9090390566058134,5.46875e-06,42.045130452141166
