model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_macro_f1,best_val_acc,best_val_loss,last_val_loss,train_loss_at_best_epoch,val_loss_at_best_epoch,overfit_gap_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,label_smoothing,status,status_reason,error,feature_dim,encoder_hidden_dim,hidden_size,num_layers,dropout,use_last_only,bidirectional,host,gpu_local_id,cuda_visible_devices,pid
LeNet_LSTM,1,1,43,0.0006,16,0.001,10,10,8,0.8937124832746713,0.8937124832746713,0.8946428571428572,0.5922975650855473,0.6849146333478746,0.4940399043049131,0.5922975650855473,0.0926170682623273,0.8637050506701822,0.017002594834499903,0.8694341546313114,219.85647151991725,424828,,,0.05,ok,,,64,96,128,2,0.5,False,False,ubuntu,4,4,7364
LeNet_LSTM,1,2,44,0.0006,32,0.0003,10,10,10,0.8847123410148989,0.8847123410148989,0.8857142857142857,0.6394846041997274,0.6394846041997274,0.4945384648868016,0.6394846041997274,0.0,0.856376611358775,0.018246022733466996,0.8847123410148989,147.4935954157263,270492,,,0.05,ok,,,96,96,64,2,0.5,False,False,ubuntu,4,4,15075
LeNet_LSTM,1,3,45,0.0006,64,0.0001,10,10,7,0.9008423364585211,0.9008423364585211,0.9017857142857143,0.5687986107099624,0.6057635454904465,0.44516198931991374,0.5687986107099624,0.03696493478048413,0.8900315537584229,0.0074177413808527645,0.8931013303205152,98.43059074878693,331708,,,0.05,ok,,,128,96,128,1,0.3,False,False,ubuntu,1,1,25000
LeNet_LSTM,1,4,46,0.0006,16,0.0003,10,10,10,0.8564526913631202,0.8564526913631202,0.8559523809523809,0.6793026000261306,0.6793026000261306,0.5414479328621001,0.6793026000261306,0.0,0.8389763213728438,0.014139432649599784,0.8564526913631202,189.66507133841515,407484,,,0.05,ok,,,64,160,128,1,0.5,True,False,ubuntu,0,0,32992
LeNet_LSTM,1,5,47,0.0001,32,0.0003,10,10,8,0.8164825310760827,0.8164825310760827,0.8166666666666667,0.7693343752906436,0.7911286107131413,0.7080738289015633,0.7693343752906436,0.0217942354224977,0.7963784672482388,0.026844216257279806,0.8073524958319142,145.85541813075542,329724,,,0.05,ok,,,64,96,96,2,0.5,False,False,ubuntu,1,1,40139
LeNet_LSTM,1,6,48,0.0006,16,0.0001,10,10,10,0.8243758872461228,0.8243758872461228,0.8279761904761904,0.735390184322993,0.735390184322993,0.6506351234515508,0.735390184322993,0.0,0.8028257770045298,0.025826204290051696,0.8243758872461228,194.06352114863694,255228,,,0.05,ok,,,64,96,96,1,0.6,True,False,ubuntu,5,5,49723
LeNet_LSTM,1,9,51,0.0006,16,0.0003,10,10,10,0.8882972762642579,0.8882972762642579,0.8889880952380952,0.6689642033406666,0.6689642033406666,0.4412391039303371,0.6689642033406666,0.0,0.8708846612073439,0.013511262877922241,0.8882972762642579,178.5060474369675,237212,,,0.05,ok,,,96,96,64,1,0.5,False,False,ubuntu,2,2,73212
LeNet_LSTM,1,10,52,0.0006,64,0.0003,10,10,9,0.8956941035578388,0.8956941035578388,0.8961309523809524,0.6082513536725725,0.6216627887317112,0.44709374594144496,0.6082513536725725,0.013411435059138666,0.8829173786497719,0.0182759933201121,0.8951899757950156,105.56767363473773,502716,,,0.05,ok,,,96,128,128,2,0.5,False,False,ubuntu,0,0,82247
LeNet_LSTM,1,11,53,0.0003,32,0.001,10,10,10,0.8703093822280447,0.8703093822280447,0.8714285714285714,0.6569810637405941,0.6569810637405941,0.5594457571279435,0.6569810637405941,0.0,0.8453088357177517,0.020379511095694046,0.8703093822280447,146.79804589226842,281788,,,0.05,ok,,,128,96,64,2,0.5,False,False,ubuntu,2,2,89806
LeNet_LSTM,1,12,54,0.0003,16,0.0001,10,10,10,0.8674137047572238,0.8674137047572238,0.8690476190476191,0.6500790351913088,0.6500790351913088,0.5525997566041492,0.6500790351913088,0.0,0.8436419472932414,0.01905797835023807,0.8674137047572238,224.31114877015352,316572,,,0.05,ok,,,64,128,64,2,0.5,False,False,ubuntu,5,5,97449
LeNet_LSTM,1,13,55,0.0006,64,0.0003,10,10,10,0.7657534220061731,0.7657534220061731,0.775,0.7877810472533816,0.7877810472533816,0.7238997758114746,0.7877810472533816,0.0,0.7056482904995974,0.03838494084793386,0.7657534220061731,105.38242026045918,281788,,,0.05,ok,,,128,96,64,2,0.5,True,False,ubuntu,0,0,105332
LeNet_LSTM,1,17,59,0.0006,64,0.001,10,10,10,0.9127349840116808,0.9127349840116808,0.9125,0.5825846155484518,0.5825846155484518,0.39467630730835657,0.5825846155484518,0.0,0.900851086481165,0.008138778778262835,0.9127349840116808,99.37457405216992,450556,,,0.05,ok,,,128,160,128,1,0.3,False,False,ubuntu,0,0,143474
