model_name,phase,trial_id,seed,lr,batch_size,weight_decay,epochs_budget,epochs_ran,best_epoch,best_val_f1,best_val_macro_f1,best_val_acc,best_val_loss,last_val_loss,train_loss_at_best_epoch,val_loss_at_best_epoch,overfit_gap_loss,last5_mean_val_f1,last5_std_val_f1,final_epoch_val_f1,train_time_sec,num_params,test_f1,test_acc,label_smoothing,status,status_reason,error,host,gpu_local_id,cuda_visible_devices,pid
MobileNet_V2,1,1,43,0.0003,16,0.001,10,10,10,0.9071300666213261,0.9071300666213261,0.906547619047619,0.5645846271798725,0.5645846271798725,0.4059338955652146,0.5645846271798725,0.0,0.8957860801717599,0.010081466114020811,0.9071300666213261,647.7261038850993,2261420,,,0.05,ok,,,ubuntu,2,2,239683
MobileNet_V2,1,2,44,0.0003,8,0.0003,10,10,8,0.9085469785998289,0.9085469785998289,0.9080357142857143,0.5488458484411239,0.5744875885191418,0.3845870558420817,0.5488458484411239,0.025641740078017894,0.8986966503054745,0.01627314084359949,0.9070762921819221,1168.869861813262,2261420,,,0.05,ok,,,ubuntu,6,6,241347
MobileNet_V2,1,3,45,0.0003,8,0.0001,10,10,10,0.9029320133959112,0.9029320133959112,0.9029761904761905,0.5971944519451686,0.5971944519451686,0.40509011694363184,0.5971944519451686,0.0,0.8990502368935438,0.0029328326874241023,0.9029320133959112,1165.0431586485356,2261420,,,0.05,ok,,,ubuntu,5,5,242091
MobileNet_V2,1,4,46,0.0006,32,0.001,10,10,9,0.9053617632472982,0.9053617632472982,0.905952380952381,0.542389468352,0.5941809492451804,0.39463866739046005,0.542389468352,0.05179148089318042,0.896428430653281,0.007379613169695876,0.8938373182441763,310.3674373719841,2261420,,,0.05,ok,,,ubuntu,4,4,242171
MobileNet_V2,1,5,47,0.0006,16,0.0001,10,10,7,0.9047449838152685,0.9047449838152685,0.9041666666666667,0.5747833034821919,0.5800917951833634,0.4530894706930433,0.5747833034821919,0.005308491701171536,0.9009564909159262,0.002642540104930847,0.9008212928878739,663.1652277912945,2261420,,,0.05,ok,,,ubuntu,0,0,242240
MobileNet_V2,1,6,48,0.0001,8,0.001,10,10,8,0.8840681711880573,0.8840681711880573,0.8842261904761904,0.6052378619710604,0.6079817854222798,0.5037691381006014,0.6052378619710604,0.002743923451219321,0.8689438821602209,0.013378169763537565,0.8828493271201193,1169.7533666752279,2261420,,,0.05,ok,,,ubuntu,1,1,244783
MobileNet_V2,1,7,49,0.0001,32,0.0003,10,10,9,0.8467778878922915,0.8467778878922915,0.8485119047619047,0.7295495016234261,0.7730618987764631,0.4543744994345165,0.7295495016234261,0.04351239715303701,0.832257047738046,0.011314729448863236,0.8271509581121471,323.86635334044695,2261420,,,0.05,ok,,,ubuntu,7,7,245754
MobileNet_V2,1,8,50,0.0003,16,0.0001,10,10,10,0.9210451223884525,0.9210451223884525,0.9208333333333333,0.5265999222085589,0.5265999222085589,0.35824323319253465,0.5265999222085589,0.0,0.9013971802743501,0.010806812514824841,0.9210451223884525,660.9128580074757,2261420,,,0.05,ok,,,ubuntu,4,4,247173
MobileNet_V2,1,9,51,0.0003,8,0.001,10,10,10,0.9135673939323117,0.9135673939323117,0.9130952380952381,0.5309952718161401,0.5309952718161401,0.4033835373322169,0.5309952718161401,0.0,0.9045512989751268,0.007295415143181251,0.9135673939323117,1191.279903292656,2261420,,,0.05,ok,,,ubuntu,3,3,248473
MobileNet_V2,1,10,52,0.0006,16,0.0003,10,10,8,0.9200856656903929,0.9200856656903929,0.9202380952380952,0.5202282227220989,0.5786599355084555,0.375321134470758,0.5202282227220989,0.058431712786356615,0.8975107613352066,0.017286859009840488,0.9058911722502256,658.6588796768337,2261420,,,0.05,ok,,,ubuntu,2,2,248944
MobileNet_V2,1,11,53,0.0003,32,0.0001,10,10,10,0.8929603590590885,0.8929603590590885,0.8925595238095239,0.6070316967510042,0.6070316967510042,0.3964166579927717,0.6070316967510042,0.0,0.8772998091019482,0.008587514192467276,0.8929603590590885,301.02958549931645,2261420,,,0.05,ok,,,ubuntu,7,7,249994
MobileNet_V2,1,12,54,0.0006,8,0.0001,10,10,10,0.921423635874449,0.921423635874449,0.9211309523809523,0.507321203038806,0.507321203038806,0.4100159121411187,0.507321203038806,0.0,0.9011441438626017,0.015061499678483418,0.921423635874449,1187.6516483630985,2261420,,,0.05,ok,,,ubuntu,0,0,251506
